Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Bryan Ramos",2025,"FA,FC,FS,SI,CH,SL",34,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0,22,12,34,-1.593462147058824,5.357413352941177,7.080103823529411,"Bryan Ramos","25621",682868
"Petey Halpin",2025,"FA,FC,CH,SL,CU",32,0,0.6666666666666666,0.3333333333333333,0,0,19,13,32,-1.9674229374999996,3.3569265625,8.3331215625,"Petey Halpin","27931",690984
"Rhylan Thomas",2025,"FA,FC,FS,SI,CH,SL,CU,EP",33,0,0.5714285714285714,0.42857142857142855,0,0,21,12,33,-2.889245836363636,6.007164303030303,8.351118787878788,"Rhylan Thomas","31793",689041
"Sean Bouchard",2025,"FA,FC,SI,CH,SL,CU",87,0.375,0.5,0.125,0,0,56,31,87,-1.8972033218390805,4.041367428735632,7.560425701149425,"Sean Bouchard","21270",656248
"Luke Williams",2025,"FA,FC,SI,CH,SL,CU",81,0.23529411764705882,0.4117647058823529,0.35294117647058826,0.5,0,56,25,81,-3.0187736419753084,4.201129585185185,8.488285679012344,"Luke Williams","19931",663897
"Johnathan Rodríguez",2025,"FA,FC,FS,SI,CH,SL,CU",80,0.14285714285714285,0.8571428571428571,0,0,0,52,28,80,-2.843823175,4.499544687499999,8.019283249999999,"Johnathan Rodriguez","22530",671286
"Tristin English",2025,"FA,FS,SI,CH,SL,CU",78,0.25,0.3333333333333333,0.4166666666666667,0.2,0,56,22,78,-3.3425882987179487,4.719592628205128,7.709462179487179,"Tristin English","26148",663536
"Grant McCray",2025,"FA,FC,SI,CH,SL,CU,KC",79,0.1,0.4,0.5,0.2,0,54,25,79,-5.091331721518988,5.809579781012658,9.811239367088607,"Grant McCray","25690",687529
"Drew Avans",2025,"FA,FC,FS,SI,CH,SL,CU",67,0.1,0.6,0.3,0.3333333333333333,0,48,19,67,-6.130302044776118,4.965701208955224,10.1283023880597,"Drew Avans","25183",682183
"Cal Stevenson",2025,"FA,SI,CH,SL,CU",25,0.16666666666666666,0.5,0.3333333333333333,0,0,20,5,25,-4.461537400000001,4.375994035999999,8.2680436,"Cal Stevenson","22411",670276
"Tyler Black",2025,"FA,FC,FS,SI,SL,CU",54,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0,27,27,54,-1.5937491481481478,2.630023118518519,8.203787611111112,"Tyler Black","29949",672012
"Niko Kavadas",2025,"FA,FC,SI,CH,SL,CU,KC",90,0,0.3333333333333333,0.6666666666666666,0,0,54,36,90,-0.6586174777777778,3.1598609088888887,9.074297444444444,"Niko Kavadas","29782",694359
"Brian Navarreto",2025,"FA,FC,SI,SL,CU",24,0,0.5,0.5,0,0,18,6,24,-2.383542041666667,4.2420960416666675,7.73439625,"Brian Navarreto","16398",640459
