Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Victor LizarragaNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,911,1979,0%,-,-,-,-,-,-,
"Briggs McKenzieNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1047,1980,0%,-,-,-,-,-,-,
"Johnny SlawinskiNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,966,1981,0%,-,-,-,-,-,-,
"Evan ReifertNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,918,1982,0%,-,-,-,-,-,-,
"Michael MoralesNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,849,1983,0%,-,-,-,-,-,-,
"Marcus PhillipsNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,1026,1984,0%,-,-,-,-,-,-,
"J.D. ThompsonNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,780,1985,0%,-,-,-,-,-,-,
"Chase ShoresNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,999,1986,0%,-,-,-,-,-,-,
"Dean LivingstonNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,767,1987,0%,-,-,-,-,-,-,
"Cam LeiterNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,884,1988,0%,-,-,-,-,-,-,
"Ian BedellNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,996,1989,0%,-,-,-,-,-,-,
"Kaleb WingNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,881,1990,0%,-,-,-,-,-,-,
"Miguel Sime Jr.NANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1033,1991,0%,-,-,-,-,-,-,
"Talon HaleyNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,889,1992,0%,-,-,-,-,-,-,
"Ben JacobsNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1058,1993,0%,-,-,-,-,-,-,
"Gunnar HoglundIL60No new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,1342,1994,0%,-,-,-,-,-,-,
"Justin LamkinNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,967,1995,0%,-,-,-,-,-,-,
"Pico KohnNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,997,1996,0%,-,-,-,-,-,-,
"Ricky TiedemannNA7No new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,1061,1997,1%,-,-,-,-,-,-,
"Tanner FranklinNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,929,1998,0%,-,-,-,-,-,-,
"Michael LombardiNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,826,1999,0%,-,-,-,-,-,-,
"Nate SneadNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1001,2000,0%,-,-,-,-,-,-,
"Mason MorrisNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,920,2001,0%,-,-,-,-,-,-,
"Micah BucknamNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,953,2002,0%,-,-,-,-,-,-,
"Ronel BlancoIL60New Player Note HOU - P L, 2-5 vs BAL",BAL,NY Bombsquad,-,575,2003,2%,-,-,-,-,-,-,
"Riley KellyNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,888,2004,0%,-,-,-,-,-,-,
"Justin HagenmanIL60Player Note NYM - P W, 6-1 @ PHI",@ PHI,FA,-,714,2005,0%,-,-,-,-,-,-,
"Malachi WitherspoonNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,975,2006,0%,-,-,-,-,-,-,
"Anthony EyansonNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,955,2007,1%,-,-,-,-,-,-,
"Andrew SaalfrankIL60Player Note AZ - P Bot 4, 0-5 vs STL",STL,FA,-,554,2008,0%,-,-,-,-,-,-,
"Matt BarrNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,898,2009,0%,-,-,-,-,-,-,
"Will HynesNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,987,2010,0%,-,-,-,-,-,-,
"Anthony MaldonadoNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,1298,2011,0%,-,-,-,-,-,-,
"Griffin HugusNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1107,2012,0%,-,-,-,-,-,-,
"Luis GuerreroNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,1180,2013,0%,-,-,-,-,-,-,
"Gage WoodNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,1027,2014,1%,-,-,-,-,-,-,
"Brian CurleyNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1103,2015,0%,-,-,-,-,-,-,
"Sean YoungermanNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,827,2016,0%,-,-,-,-,-,-,
"JT QuinnNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,916,2017,0%,-,-,-,-,-,-,
"CJ GrayNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,787,2018,0%,-,-,-,-,-,-,
"Cody BowkerNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,1059,2019,0%,-,-,-,-,-,-,
"Grayson GrinsellNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,895,2020,0%,-,-,-,-,-,-,
"Bryan HoeingIL60No new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,673,2021,0%,-,-,-,-,-,-,
"Zane TaylorNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,834,2022,0%,-,-,-,-,-,-,
"Luis L. OrtizNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,1156,2023,0%,-,-,-,-,-,-,
"Prelander BerroaIL60No new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,729,2024,0%,-,-,-,-,-,-,
"Camden LohmanNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,1008,2025,0%,-,-,-,-,-,-,
"Yosver ZuluetaNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1151,2026,0%,-,-,-,-,-,-,
"Alex CarrilloNAPlayer Note NYM - P W, 6-1 @ PHI",@ PHI,FA,-,1239,2027,0%,-,-,-,-,-,-,
"Justin MartinezIL60Player Note AZ - P Bot 4, 0-5 vs STL",STL,FA,-,598,2028,1%,-,-,-,-,-,-,
"Frank CaironeNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,843,2029,0%,-,-,-,-,-,-,
"Dominick ReidNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,993,2030,0%,-,-,-,-,-,-,
"Michael SalinaNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,986,2031,0%,-,-,-,-,-,-,
"Colin SelbyIL60No new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,712,2032,0%,-,-,-,-,-,-,
"Peter KussowNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,1055,2033,0%,-,-,-,-,-,-,
"Landon BeidelschiesNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1024,2034,0%,-,-,-,-,-,-,
"Chase HamptonNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,925,2035,0%,-,-,-,-,-,-,
"Sawyer Gipson-LongNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1333,2036,0%,-,-,-,-,-,-,
"Carlos De La RosaNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,942,2037,0%,-,-,-,-,-,-,
"Yunior MarteNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,1112,2038,0%,-,-,-,-,-,-,
"Shelby MillerIL60No new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,498,2039,0%,-,-,-,-,-,-,
"RJ PetitIL60No new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,746,2040,0%,-,-,-,-,-,-,
"Alex CobbNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,707,2041,0%,-,-,-,-,-,-,
"Wade MileyNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,1242,2042,0%,-,-,-,-,-,-,
"McCade BrownIL60No new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1406,2043,0%,-,-,-,-,-,-,
"Dylan RossNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,991,2044,0%,-,-,-,-,-,-,
"Yorman GómezNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,970,2045,0%,-,-,-,-,-,-,
"Miguel MendezNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,858,2046,0%,-,-,-,-,-,-,
"Jake MillerNA7Player Note DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,926,2047,0%,-,-,-,-,-,-,
"Leandro LopezNA7No new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1120,2048,0%,-,-,-,-,-,-,
"Chung-Hsiang HuangNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,899,2049,0%,-,-,-,-,-,-,
"Daury VasquezNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,804,2050,0%,-,-,-,-,-,-,
"Wei-En LinNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,854,2051,0%,-,-,-,-,-,-,
"Rayven AntonioNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1028,2052,0%,-,-,-,-,-,-,
"Liam HendriksNAPlayer Note CHC - P W, 10-1 vs MIN",MIN,FA,-,1230,2053,0%,-,-,-,-,-,-,
"Tyler SchlafferNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,882,2054,0%,-,-,-,-,-,-,
"Mathias LaCombeNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,1122,2055,0%,-,-,-,-,-,-,
"Konner EatonNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1051,2057,0%,-,-,-,-,-,-,
"JeanPierre OrtizNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,806,2058,0%,-,-,-,-,-,-,
"Jake MillerNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1125,2059,0%,-,-,-,-,-,-,
"Lucas ElissaltNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,890,2060,0%,-,-,-,-,-,-,
"Kelvis SalcedoNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,977,2061,0%,-,-,-,-,-,-,
"Kendry ChourioNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,809,2062,0%,-,-,-,-,-,-,
"Bryce MayerNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,776,2063,0%,-,-,-,-,-,-,
"Josh HansellNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,887,2064,0%,-,-,-,-,-,-,
"Jack NeelyNA60No new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,1153,2065,0%,-,-,-,-,-,-,
"Xavier MitchellNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1014,2066,0%,-,-,-,-,-,-,
"Liomar MartinezNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,828,2067,0%,-,-,-,-,-,-,
"Kevin DefrankNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,919,2068,0%,-,-,-,-,-,-,
"Eliazar DishmeyNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,1068,2069,0%,-,-,-,-,-,-,
"Nate PayneNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,1086,2070,0%,-,-,-,-,-,-,
"R.J. GordonNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,1094,2071,0%,-,-,-,-,-,-,
"Ramon MarquezNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,1038,2072,0%,-,-,-,-,-,-,
"Bryan BalzerNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,962,2073,0%,-,-,-,-,-,-,
"Lan-Hong SuNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,964,2074,0%,-,-,-,-,-,-,
"Eric YostNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,760,2075,0%,-,-,-,-,-,-,
"Yu DarvishNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,683,2076,0%,-,-,-,-,-,-,
"Argenis CayamaNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,749,2077,0%,-,-,-,-,-,-,
"Alberto LarocheNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,1010,2078,0%,-,-,-,-,-,-,
"Keyner MartinezNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,840,2079,0%,-,-,-,-,-,-,
"Luis De La TorreNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,836,2080,0%,-,-,-,-,-,-,
"Josh TrentadueNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,759,2081,0%,-,-,-,-,-,-,
"Paul BonzagniNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1073,2082,0%,-,-,-,-,-,-,
"Kolton CurtisNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,866,2083,0%,-,-,-,-,-,-,
"Dalton PenceNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,800,2084,0%,-,-,-,-,-,-,
"Leandro LopezNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,735,2085,0%,-,-,-,-,-,-,
"Gage StaniferNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,912,2086,0%,-,-,-,-,-,-,
"Yoel Tejeda Jr.NANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1057,2087,0%,-,-,-,-,-,-,
"Silvano HechavarriaNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,1032,2088,0%,-,-,-,-,-,-,
"Alexander AlbertoNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,845,2089,0%,-,-,-,-,-,-,
"Erasmo RamírezNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,662,2090,0%,-,-,-,-,-,-,
"Po-Chun LinNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,930,2091,0%,-,-,-,-,-,-,
"Ty AdcockNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,1150,2092,0%,-,-,-,-,-,-,
"Justin WilsonNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,637,2093,0%,-,-,-,-,-,-,
"Ian MejiaNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,946,2094,0%,-,-,-,-,-,-,
"T.J. McFarlandNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,1322,2095,0%,-,-,-,-,-,-,
"Troy TaylorNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1316,2096,0%,-,-,-,-,-,-,
"Ryan PresslyNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,1196,2097,0%,-,-,-,-,-,-,
"Ryan BrasierNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1182,2098,0%,-,-,-,-,-,-,
"Andrew WaltersNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,1154,2099,0%,-,-,-,-,-,-,
"Alex ClemmeyNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1076,2100,0%,-,-,-,-,-,-,
"Garrett BaumannNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,960,2101,0%,-,-,-,-,-,-,
"Hunter OwenNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,1046,2102,0%,-,-,-,-,-,-,
"Kannon KempNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,1078,2103,0%,-,-,-,-,-,-,
"Eriq SwanNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,983,2104,0%,-,-,-,-,-,-,
"Josh KnothNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,772,2105,0%,-,-,-,-,-,-,
"Robert StephensonIL60No new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,626,2106,0%,-,-,-,-,-,-,
"Jon GrayNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1245,2107,0%,-,-,-,-,-,-,
"Camden MinacciNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,984,2108,0%,-,-,-,-,-,-,
"Seth KeenerNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,931,2109,0%,-,-,-,-,-,-,
"Andrew HeaneyNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1472,2110,0%,-,-,-,-,-,-,
"Blake WoltersNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,743,2111,0%,-,-,-,-,-,-,
"Rafael MonteroNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1241,2112,0%,-,-,-,-,-,-,
"Kyle CarrNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,965,2113,0%,-,-,-,-,-,-,
"Jack MahoneyNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1016,2114,0%,-,-,-,-,-,-,
"Quinn MathewsNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,Tm Mndlsn nd Mtchn,-,838,2115,2%,-,-,-,-,-,-,
"Drue HackenbergNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,766,2116,0%,-,-,-,-,-,-,
"Landen MaroudisNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,961,2117,0%,-,-,-,-,-,-,
"Luke JacksonNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,663,2118,0%,-,-,-,-,-,-,
"Lael LockhartNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,737,2119,0%,-,-,-,-,-,-,
"Marcus StromanNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1362,2120,0%,-,-,-,-,-,-,
"Carlson ReedNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,-,939,2121,0%,-,-,-,-,-,-,
"Alejandro RosarioNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1030,2122,0%,-,-,-,-,-,-,
"Jackson BaumeisterNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,846,2123,0%,-,-,-,-,-,-,
"Bishop LetsonNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,1011,2124,0%,-,-,-,-,-,-,
"Jake BlossNAPlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,-,1160,2125,0%,-,-,-,-,-,-,
"Josh BostickNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,917,2126,0%,-,-,-,-,-,-,
"Lebarron Johnson Jr.NANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1082,2127,0%,-,-,-,-,-,-,
"Ixan HendersonNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,784,2128,0%,-,-,-,-,-,-,
"Cole MillerNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,738,2129,0%,-,-,-,-,-,-,
"James EllwangerNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,785,2130,0%,-,-,-,-,-,-,
"Ty FloydNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,1017,2131,0%,-,-,-,-,-,-,
"Cade KuehlerNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1131,2132,0%,-,-,-,-,-,-,
"Paul WilsonNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,971,2133,0%,-,-,-,-,-,-,
"Joe WhitmanNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,1102,2134,0%,-,-,-,-,-,-,
"Anthony DeSclafaniNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1197,2135,0%,-,-,-,-,-,-,
"Noble MeyerNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,903,2136,0%,-,-,-,-,-,-,
"Thomas WhiteNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,Joey Spierer's Team,-,1015,2137,4%,-,-,-,-,-,-,
"Charlee SotoNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,1104,2138,0%,-,-,-,-,-,-,
"Travis SykoraNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1002,2139,1%,-,-,-,-,-,-,
"Cole SchoenwetterNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,897,2140,0%,-,-,-,-,-,-,
"Steven EchavarriaNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,1117,2141,0%,-,-,-,-,-,-,
"Alonzo TredwellNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,779,2142,0%,-,-,-,-,-,-,
"Juaron Watts-BrownNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,943,2143,0%,-,-,-,-,-,-,
"Teddy McGrawNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1021,2144,0%,-,-,-,-,-,-,
"Levi WellsNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,817,2145,0%,-,-,-,-,-,-,
"Héctor NerisNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,1224,2146,0%,-,-,-,-,-,-,
"Jaxon WigginsNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,1060,2147,1%,-,-,-,-,-,-,
"Andrew ChafinNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,650,2148,0%,-,-,-,-,-,-,
"Will SandersNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,782,2149,0%,-,-,-,-,-,-,
"Hunter StricklandNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,648,2150,0%,-,-,-,-,-,-,
"Barrett KentNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1049,2151,0%,-,-,-,-,-,-,
"Yimi GarcíaIL60Player Note TOR - P L, 0-3 vs CWS",CWS,FA,-,610,2152,0%,-,-,-,-,-,-,
"Christian OpporNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,1000,2153,0%,-,-,-,-,-,-,
"Kendall GravemanNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1339,2154,0%,-,-,-,-,-,-,
"Chen-Wei LinNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,803,2155,0%,-,-,-,-,-,-,
"Trevor HarrisonNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,885,2156,0%,-,-,-,-,-,-,
"T.J. NicholsNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,978,2157,0%,-,-,-,-,-,-,
"Jaden WoodsNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,928,2158,0%,-,-,-,-,-,-,
"Hiro WyattNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,813,2159,0%,-,-,-,-,-,-,
"Josh GroszNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,904,2160,0%,-,-,-,-,-,-,
"Patrick ReillyNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1003,2161,0%,-,-,-,-,-,-,
"Jaden HammNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1111,2162,0%,-,-,-,-,-,-,
"José BerríosIL60No new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,642,2163,1%,-,-,-,-,-,-,
"Skylar HalesNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1136,2164,0%,-,-,-,-,-,-,
"Andrew SearsNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,818,2165,0%,-,-,-,-,-,-,
"Miguel CastroNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1221,2166,0%,-,-,-,-,-,-,
"Caden ScarboroughNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,973,2167,0%,-,-,-,-,-,-,
"Cade DentonNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,819,2168,0%,-,-,-,-,-,-,
"José UreñaNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1345,2169,0%,-,-,-,-,-,-,
"Jack WenningerNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,870,2170,1%,-,-,-,-,-,-,
"Brody HopkinsNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,807,2171,1%,-,-,-,-,-,-,
"Blake WehuntNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,948,2172,0%,-,-,-,-,-,-,
"Lucas BraunNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1048,2173,0%,-,-,-,-,-,-,
"Cade SmithNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1043,2174,0%,-,-,-,-,-,-,
"Ethan PeckoNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,847,2175,0%,-,-,-,-,-,-,
"Izack TigerNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,739,2176,0%,-,-,-,-,-,-,
"Patrick CopenNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,868,2177,0%,-,-,-,-,-,-,
"Tucker MusgroveNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,740,2178,0%,-,-,-,-,-,-,
"Braxton BraggNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1088,2179,0%,-,-,-,-,-,-,
"Jackson NezuhNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,940,2180,0%,-,-,-,-,-,-,
"James HicksNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,1128,2181,0%,-,-,-,-,-,-,
"Frankie MontasNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,1365,2182,0%,-,-,-,-,-,-,
"Daysbel HernándezNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,657,2183,0%,-,-,-,-,-,-,
"Tyler AndersonNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1453,2184,0%,-,-,-,-,-,-,
