Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Curtis MeadIL10Player Note BOS - 1B,2B,3B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Tm Mndlsn nd Mtchn,88,266,221,14%,72/285,49,17,48,6,0.851,
"Javier SanojaPlayer Note MIA - 2B,3B,SS,OF Bot 1, 0-0 vs ATL",ATL,,Detroit Fastballs,141,419,224,52%,132/449,49,10,68,11,0.787,
Josh NaylorPlayer Note SEA - 1B 10:10 pm vs LAA,LAA,,No Longer Rowdy,149,36,225,85%,155/585,58,10,55,29,0.675,
"George SpringerPlayer Note TOR - OF  Bot 1, 2-0 vs CIN",CIN,,Joey Spierer's Team,124,181,226,68%,114/455,58,15,54,12,0.73,
Christian YelichPlayer Note MIL - OF 7:40 pm vs STL,STL,,NY Bombsquad,115,136,227,73%,102/433,68,12,58,11,0.695,
Henry BoltePlayer Note ATH - OF 9:40 pm vs HOU,HOU,,Joe Byron,116,502,228,42%,111/403,56,11,36,21,0.76,
Brandon NimmoNew Player Note TEX - OF 8:10 pm @ MIN,@ MIN,,NY Bombsquad,152,140,229,69%,151/580,63,14,61,7,0.731,
Cole YoungPlayer Note SEA - 2B 10:10 pm vs LAA,LAA,,Stealth Bomber,157,318,230,11%,139/568,71,17,65,4,0.69,
Kyle KarrosPlayer Note COL - 3B 7:40 pm @ CWS,@ CWS,,FA,128,551,237,5%,103/400,63,13,49,5,0.775,
Cam SmithPlayer Note HOU - OF 9:40 pm @ ATH,@ ATH,,Joe Byron,154,281,239,10%,104/500,63,20,54,11,0.659,
Andrew BenintendiPlayer Note CWS - OF 7:40 pm vs COL,COL,,FA,139,298,243,2%,100/415,57,14,75,1,0.712,
"Vinnie PasquantinoPlayer Note KC - 1B  Top 1, Delay vs CLE",CLE,,Stealth Bomber,111,206,245,66%,101/410,52,15,60,5,0.744,
Willy AdamesIL10Player Note SF - SS 10:15 pm vs LAD,LAD,,Tm Mndlsn nd Mtchn,121,91,247,51%,107/465,62,21,51,5,0.713,
"Aaron JudgeIL10Video ForecastPlayer Note NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Joey Spierer's Team,66,116,249,90%,57/237,45,18,41,5,0.871,
Cal RaleighNew Player Note SEA - C 10:10 pm vs LAA,LAA,,No Longer Rowdy,124,105,251,95%,79/442,49,23,68,2,0.663,
Jung Hoo LeeIL10Player Note SF - OF 10:15 pm vs LAD,LAD,,FA,143,263,252,21%,149/539,65,10,57,12,0.724,
"Nick GonzalesPlayer Note PIT - 2B,3B,SS Top 2, 0-0 @ DET",@ DET,,Trust The Process,146,312,254,36%,164/544,70,6,60,7,0.753,
"Cole CarriggNew Player Note COL - SS,OF 7:40 pm @ CWS",@ CWS,,Ranger danger,90,556,255,26%,89/322,47,11,51,11,0.809,
"Richie PalaciosNo new player Notes TB - 2B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,122,590,263,4%,79/337,51,10,53,17,0.704,
"Francisco LindorNo new player Notes NYM - SS Bot 2, 1-2 @ WSH",@ WSH,,No Longer Rowdy,102,122,266,96%,91/405,60,20,48,3,0.73,
"A.J. EwingPlayer Note NYM - 2B,OF Bot 2, 1-2 @ WSH",@ WSH,,Joe Byron,117,165,267,30%,109/426,53,10,40,25,0.702,
"Jacob YoungPlayer Note WSH - OF Bot 2, 2-1 vs NYM",NYM,,Joe Byron,138,355,268,2%,103/413,57,10,49,18,0.707,
Corey SeagerPlayer Note TEX - SS 8:10 pm @ MIN,@ MIN,,Ranger danger,99,78,276,89%,84/371,56,19,48,2,0.737,
Ryan JeffersPlayer Note MIN - C 8:10 pm vs TEX,TEX,,Trust The Process,90,205,279,38%,78/310,48,14,55,1,0.808,
"Cedric MullinsPlayer Note TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,134,512,282,4%,87/429,56,15,46,21,0.629,
"Vladimir Guerrero Jr.Player Note TOR - 1B  Bot 1, 2-0 vs CIN",CIN,,The Eds,142,56,288,91%,140/533,71,9,56,7,0.695,
Trevor LarnachIL10Player Note MIN - OF 8:10 pm vs TEX,TEX,,No Longer Rowdy,122,267,293,3%,103/383,57,13,48,2,0.788,
"Jose AltuvePlayer Note HOU - 2B,OF 9:40 pm @ ATH",@ ATH,,Cookie Monster ,132,188,296,78%,128/512,69,16,46,5,0.704,
"Esmerlyn ValdezIL10No new player Notes PIT - 1B,OF Top 2, 0-0 @ DET",@ DET,,Tm Mndlsn nd Mtchn,72,1503,298,14%,56/241,40,17,47,0,0.855,
"Royce LewisPlayer Note MIN - 1B,2B,3B 8:10 pm vs TEX",TEX,,Cash is King,122,248,307,32%,102/451,49,14,54,15,0.665,
