Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Walker MartinNANo new player Notes SF - 3B,SS 10:15 pm vs LAD",LAD,,FA,-,2473,1700,0%,-/-,-,-,-,-,-,
"Brayden TaylorNANo new player Notes MIA - 2B,3B Bot 1, 0-0 vs ATL",ATL,,FA,-,2175,1701,0%,-/-,-,-,-,-,-,
Jack HurleyNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,-,2453,1702,0%,-/-,-,-,-,-,-,
"Adrian SantanaNANo new player Notes TB - SS Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2095,1703,0%,-/-,-,-,-,-,-,
Chase DavisNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2009,1704,0%,-/-,-,-,-,-,-,
"Mitch JebbNANo new player Notes PIT - 2B,OF Top 2, 0-0 @ DET",@ DET,,FA,-,2335,1705,0%,-/-,-,-,-,-,-,
Maui AhunaNANo new player Notes SF - SS 10:15 pm vs LAD,LAD,,FA,-,2106,1706,0%,-/-,-,-,-,-,-,
Jonny FarmeloNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,2220,1707,0%,-/-,-,-,-,-,-,
"Nazzan ZanetelloNANo new player Notes BOS - 2B,SS W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2366,1708,0%,-/-,-,-,-,-,-,
Travis HoneymanNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2431,1709,0%,-/-,-,-,-,-,-,
Myles NaylorNANo new player Notes ATH - 3B 9:40 pm vs HOU,HOU,,FA,-,2309,1710,0%,-/-,-,-,-,-,-,
Eric BitontiNANo new player Notes MIL - 1B 7:40 pm vs STL,STL,,FA,-,2097,1711,0%,-/-,-,-,-,-,-,
"Brandon WinokurNANo new player Notes MIN - 3B,SS,OF 8:10 pm vs TEX",TEX,,FA,-,2494,1712,0%,-/-,-,-,-,-,-,
"Chris TaylorNANo new player Notes LAA - 2B,OF 10:10 pm @ SEA",@ SEA,,FA,-,1930,1713,0%,-/-,-,-,-,-,-,
Ryan LaskoNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2026,1714,0%,-/-,-,-,-,-,-,
"Homer Bush Jr.NANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2076,1715,0%,-/-,-,-,-,-,-,
"Alex MooneyNANo new player Notes CLE - 2B,3B,SS Top 1, Delay @ KC",@ KC,,FA,-,2229,1716,0%,-/-,-,-,-,-,-,
Sabin CeballosNANo new player Notes SF - 3B 10:15 pm vs LAD,LAD,,FA,-,2035,1717,0%,-/-,-,-,-,-,-,
Carson McCuskerNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,-,2526,1718,0%,-/-,-,-,-,-,-,
"Dean CurleyNANo new player Notes CLE - SS Top 1, Delay @ KC",@ KC,,FA,-,2053,1719,0%,-/-,-,-,-,-,-,
"Manuel MargotNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,1973,1720,0%,-/-,-,-,-,-,-,
"J.D. GonzalezNANo new player Notes TB - C Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2433,1721,0%,-/-,-,-,-,-,-,
"Devin SaltibanNANo new player Notes PHI - 2B,OF Bot 3, 0-2 vs TB",TB,,FA,-,2404,1722,0%,-/-,-,-,-,-,-,
"Kristian CampbellNA7No new player Notes BOS - 2B,OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,1869,1723,1%,-/-,-,-,-,-,-,
"Hunter RenfroeNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,2535,1724,0%,-/-,-,-,-,-,-,
"Tim AndersonNANo new player Notes LAA - 2B,SS 10:10 pm @ SEA",@ SEA,,FA,-,1981,1725,0%,-/-,-,-,-,-,-,
Mark CanhaNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,1974,1726,0%,-/-,-,-,-,-,-,
"Chase JaworskyNANo new player Notes MIA - 2B,SS Bot 1, 0-0 vs ATL",ATL,,FA,-,2443,1727,0%,-/-,-,-,-,-,-,
Jared SundstromNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,2257,1728,0%,-/-,-,-,-,-,-,
"Jonathon LongNANo new player Notes MIA - 1B Bot 1, 0-0 vs ATL",ATL,,FA,-,2506,1729,0%,-/-,-,-,-,-,-,
"Sam ShawNANo new player Notes TOR - 2B,OF Bot 1, 2-0 vs CIN",CIN,,FA,-,2249,1730,0%,-/-,-,-,-,-,-,
Nate NankilNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2202,1731,0%,-/-,-,-,-,-,-,
"RJ SchreckNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,-,2415,1732,0%,-/-,-,-,-,-,-,
Avery Owusu-AsieduNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,-,2073,1733,0%,-/-,-,-,-,-,-,
Cole FontenelleNANo new player Notes LAA - 3B 10:10 pm @ SEA,@ SEA,,FA,-,2367,1734,0%,-/-,-,-,-,-,-,
"Yahil MelendezNANo new player Notes CHC - 3B,SS L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2213,1735,0%,-/-,-,-,-,-,-,
"Austin BarnesNANo new player Notes NYM - C Bot 2, 1-2 @ WSH",@ WSH,,FA,-,1984,1736,0%,-/-,-,-,-,-,-,
Gio UrshelaNANo new player Notes MIN - 3B 8:10 pm vs TEX,TEX,,FA,-,1919,1737,0%,-/-,-,-,-,-,-,
Jaron ElkinsNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2319,1738,0%,-/-,-,-,-,-,-,
"Sammy HernandezNANo new player Notes STL - C,1B 7:40 pm @ MIL",@ MIL,,FA,-,2269,1739,0%,-/-,-,-,-,-,-,
"Jhonny SeverinoNANo new player Notes PIT - 2B,3B Top 2, 0-0 @ DET",@ DET,,FA,-,2083,1740,0%,-/-,-,-,-,-,-,
"Travis JankowskiNANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,1948,1741,0%,-/-,-,-,-,-,-,
"Estuar SueroNANo new player Notes PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,-,1999,1742,0%,-/-,-,-,-,-,-,
"Jeremy RodriguezNANo new player Notes NYM - 2B,3B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2292,1743,0%,-/-,-,-,-,-,-,
"Tyler WadeNANo new player Notes TEX - 2B,OF 8:10 pm @ MIN",@ MIN,,FA,-,1950,1744,0%,-/-,-,-,-,-,-,
"Brendan RodgersNANo new player Notes BOS - 2B W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,1956,1745,0%,-/-,-,-,-,-,-,
"Jansel LuisNANo new player Notes AZ - 2B,3B,SS 9:40 pm @ SD",@ SD,,FA,-,2351,1746,0%,-/-,-,-,-,-,-,
Christian CerdaNANo new player Notes AZ - C 9:40 pm @ SD,@ SD,,FA,-,2399,1747,0%,-/-,-,-,-,-,-,
"Luis GuanipaNANo new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2104,1748,0%,-/-,-,-,-,-,-,
"Luis AlmeydaNANo new player Notes BAL - 3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2110,1749,0%,-/-,-,-,-,-,-,
"Yoeilin CespedesNANo new player Notes BOS - 2B,SS W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2000,1750,0%,-/-,-,-,-,-,-,
"Johanfran GarciaNANo new player Notes BOS - C W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2158,1751,0%,-/-,-,-,-,-,-,
"Franklin AriasNANo new player Notes BOS - SS W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,The Eds,-,2151,1752,6%,-/-,-,-,-,-,-,
"Jefferson RojasNANo new player Notes NYM - SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2071,1753,1%,-/-,-,-,-,-,-,
"Derniche ValdezNANo new player Notes CHC - SS L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2488,1754,0%,-/-,-,-,-,-,-,
"Brooks BaldwinIL60No new player Notes CWS - 2B,3B,SS,OF 7:40 pm vs COL",COL,,FA,-,1809,1755,0%,-/-,-,-,-,-,-,
"Alfredo DunoNANo new player Notes CIN - C Top 2, 0-2 @ TOR",@ TOR,,FA,-,2098,1756,1%,-/-,-,-,-,-,-,
"Sheng-En LinNANo new player Notes CIN - SS Top 2, 0-2 @ TOR",@ TOR,,FA,-,2383,1757,0%,-/-,-,-,-,-,-,
"Welbyn FranciscaNANo new player Notes CLE - SS Top 1, Delay @ KC",@ KC,,FA,-,2060,1758,0%,-/-,-,-,-,-,-,
Robert CalazNANo new player Notes COL - OF 7:40 pm @ CWS,@ CWS,,FA,-,2268,1759,0%,-/-,-,-,-,-,-,
"Enrique JimenezNANo new player Notes MIN - C,1B 8:10 pm vs TEX",TEX,,FA,-,2477,1760,0%,-/-,-,-,-,-,-,
"Justice BigbieNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,2345,1761,0%,-/-,-,-,-,-,-,
Luis BaezNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,-,2115,1762,0%,-/-,-,-,-,-,-,
"Jacob StallingsNANo new player Notes BAL - C W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2557,1763,0%,-/-,-,-,-,-,-,
Dario LaverdeNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,-,2143,1764,0%,-/-,-,-,-,-,-,
"Felix MorrobelNANo new player Notes LAA - 2B,SS 10:10 pm @ SEA",@ SEA,,FA,-,2061,1765,0%,-/-,-,-,-,-,-,
Juan FloresNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,-,2142,1766,0%,-/-,-,-,-,-,-,
"Capri OrtizNANo new player Notes LAA - 2B,SS 10:10 pm @ SEA",@ SEA,,FA,-,2470,1767,0%,-/-,-,-,-,-,-,
Anthony ScullNANo new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,FA,-,2182,1768,0%,-/-,-,-,-,-,-,
Joendry VargasNANo new player Notes LAD - SS 10:15 pm @ SF,@ SF,,FA,-,2063,1769,0%,-/-,-,-,-,-,-,
"Thayron LiranzoNANo new player Notes DET - C Top 2, 0-0 vs PIT",PIT,,FA,-,2108,1770,0%,-/-,-,-,-,-,-,
"Andres ValorNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2084,1771,0%,-/-,-,-,-,-,-,
"Yophery RodriguezNANo new player Notes BOS - OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2174,1772,0%,-/-,-,-,-,-,-,
"Filippo Di TuriNANo new player Notes MIL - 2B,3B,SS 7:40 pm vs STL",STL,,FA,-,2277,1773,0%,-/-,-,-,-,-,-,
"Juan BaezNANo new player Notes MIL - 2B,3B 7:40 pm vs STL",STL,,FA,-,2392,1774,0%,-/-,-,-,-,-,-,
"Ricardo OlivarNANo new player Notes MIN - C,OF 8:10 pm vs TEX",TEX,,FA,-,2127,1775,0%,-/-,-,-,-,-,-,
"Brando MayeaNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2204,1776,0%,-/-,-,-,-,-,-,
"Keiner DelgadoNANo new player Notes PIT - 2B,3B,SS Top 2, 0-0 @ DET",@ DET,,FA,-,2342,1777,0%,-/-,-,-,-,-,-,
"Starlyn CabaNANo new player Notes MIA - 2B,SS Bot 1, 0-0 vs ATL",ATL,,FA,-,2279,1778,0%,-/-,-,-,-,-,-,
"Raylin HerediaNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,2042,1779,0%,-/-,-,-,-,-,-,
Eduardo TaitNANo new player Notes MIN - C 8:10 pm vs TEX,TEX,,FA,-,2467,1780,0%,-/-,-,-,-,-,-,
"Bryan RinconNANo new player Notes PHI - SS Bot 3, 0-2 vs TB",TB,,FA,-,2154,1781,0%,-/-,-,-,-,-,-,
Rayner AriasNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2136,1782,0%,-/-,-,-,-,-,-,
Onil PerezNANo new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,-,2280,1783,0%,-/-,-,-,-,-,-,
Felnin CelestenNANo new player Notes SEA - SS 10:10 pm vs LAA,LAA,,FA,-,2181,1784,1%,-/-,-,-,-,-,-,
"Brailer GuerreroNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2046,1785,0%,-/-,-,-,-,-,-,
"Sebastian WalcottNANo new player Notes TEX - 3B,SS 8:10 pm @ MIN",@ MIN,,FA,-,2226,1786,4%,-/-,-,-,-,-,-,
"Echedry VargasNANo new player Notes MIA - 3B,SS Bot 1, 0-0 vs ATL",ATL,,FA,-,2346,1787,0%,-/-,-,-,-,-,-,
"Zyhir HopeNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,Trust The Process,-,2330,1788,2%,-/-,-,-,-,-,-,
Nelson RadaNANo new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,FA,-,2034,1789,0%,-/-,-,-,-,-,-,
Nolan JonesNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,1847,1790,0%,-/-,-,-,-,-,-,
Alex VerdugoNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,1905,1791,0%,-/-,-,-,-,-,-,
"Gavin LuxIL60No new player Notes TB - 2B,3B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,1785,1792,1%,-/-,-,-,-,-,-,
"Richie MartinNANo new player Notes TEX - 3B,SS 8:10 pm @ MIN",@ MIN,,FA,-,2080,1793,0%,-/-,-,-,-,-,-,
"Waner LucianoNANo new player Notes HOU - 2B,3B 9:40 pm @ ATH",@ ATH,,FA,-,2347,1794,0%,-/-,-,-,-,-,-,
"Anthony SantanderIL60New Player Note TOR - OF Top 2, 2-0 vs CIN",CIN,,Tm Mndlsn nd Mtchn,-,1943,1795,3%,-/-,-,-,-,-,-,
"Wilson RodriguezNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2068,1796,0%,-/-,-,-,-,-,-,
"Paul DeJongNA60No new player Notes DET - 2B,3B,SS Top 2, 0-0 vs PIT",PIT,,FA,-,1863,1797,0%,-/-,-,-,-,-,-,
"Luis SuisbelNANo new player Notes SEA - 3B,SS 10:10 pm vs LAA",LAA,,FA,-,2511,1798,0%,-/-,-,-,-,-,-,
"Tomás NidoNANo new player Notes BOS - C W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,1954,1799,0%,-/-,-,-,-,-,-,
"Rubel CespedesNANo new player Notes MIN - 1B,3B 8:10 pm vs TEX",TEX,,FA,-,2205,1800,0%,-/-,-,-,-,-,-,
"Jeral PerezNANo new player Notes CWS - 2B,SS 7:40 pm vs COL",COL,,FA,-,2176,1801,0%,-/-,-,-,-,-,-,
Leo De VriesNANo new player Notes ATH - SS 9:40 pm vs HOU,HOU,,Rafael Devers,-,2328,1802,8%,-/-,-,-,-,-,-,
"Garrett HampsonNANo new player Notes CIN - 2B,OF Top 2, 0-2 @ TOR",@ TOR,,FA,-,1966,1803,0%,-/-,-,-,-,-,-,
"Victor AriasNANo new player Notes TOR - OF Top 2, 2-0 vs CIN",CIN,,FA,-,2241,1804,0%,-/-,-,-,-,-,-,
"Jaison ChourioNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2125,1805,0%,-/-,-,-,-,-,-,
Druw JonesNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,-,2144,1806,0%,-/-,-,-,-,-,-,
"Alejandro NunezNANo new player Notes HOU - 2B,3B,SS 9:40 pm @ ATH",@ ATH,,FA,-,2315,1807,0%,-/-,-,-,-,-,-,
Akil BaddooNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,-,2519,1808,0%,-/-,-,-,-,-,-,
"Lewin DíazNANo new player Notes WSH - 1B Bot 2, 2-1 vs NYM",NYM,,FA,-,2288,1809,0%,-/-,-,-,-,-,-,
"Thairo EstradaNANo new player Notes BAL - 2B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,1875,1810,0%,-/-,-,-,-,-,-,
"Diego BenitezNANo new player Notes ATL - 1B,3B Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2152,1811,0%,-/-,-,-,-,-,-,
"Josue BriceñoNANo new player Notes DET - C,1B Top 2, 0-0 vs PIT",PIT,,Stealth Bomber,-,2422,1812,1%,-/-,-,-,-,-,-,
"Douglas GlodNANo new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2341,1813,0%,-/-,-,-,-,-,-,
"David McCabeNANo new player Notes ATL - 1B,3B Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2120,1814,0%,-/-,-,-,-,-,-,
"Jud FabianNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2497,1815,0%,-/-,-,-,-,-,-,
"Miguel BleisNANo new player Notes BOS - OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2017,1816,0%,-/-,-,-,-,-,-,
"Mikey RomeroNANo new player Notes BOS - 2B,3B W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2397,1817,0%,-/-,-,-,-,-,-,
"Eddinson PaulinoNANo new player Notes NYM - 2B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2186,1818,0%,-/-,-,-,-,-,-,
"Cutter CoffeyNANo new player Notes TOR - 2B,3B Top 2, 2-0 vs CIN",CIN,,FA,-,2112,1819,0%,-/-,-,-,-,-,-,
"Niko KavadasNANo new player Notes LAA - 1B,OF 10:10 pm @ SEA",@ SEA,,FA,-,2536,1820,0%,-/-,-,-,-,-,-,
"Brooks BrannonNANo new player Notes BOS - C,1B W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2171,1821,0%,-/-,-,-,-,-,-,
"Cam CollierNANo new player Notes CIN - 1B,3B Top 2, 0-2 @ TOR",@ TOR,,FA,-,2501,1822,0%,-/-,-,-,-,-,-,
"Ricky CabreraNANo new player Notes CIN - 3B Top 2, 0-2 @ TOR",@ TOR,,FA,-,2450,1823,0%,-/-,-,-,-,-,-,
"Zach MorganNANo new player Notes SF - C,1B 10:15 pm vs LAD",LAD,,FA,-,2350,1824,0%,-/-,-,-,-,-,-,
"Jake FoxNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2236,1825,0%,-/-,-,-,-,-,-,
"Yanquiel FernándezNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,1917,1826,0%,-/-,-,-,-,-,-,
"Dyan JorgeNANo new player Notes COL - 2B,SS 7:40 pm @ CWS",@ CWS,,FA,-,2386,1827,0%,-/-,-,-,-,-,-,
"Ryan BurrowesNANo new player Notes CWS - 2B,3B,SS 7:40 pm vs COL",COL,,FA,-,2255,1828,0%,-/-,-,-,-,-,-,
"Justyn-Henry MalloyNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,1907,1829,0%,-/-,-,-,-,-,-,
"Keaton AnthonyNANo new player Notes PHI - 1B Bot 3, 0-2 vs TB",TB,,FA,-,2111,1830,0%,-/-,-,-,-,-,-,
"Jacob MeltonIL60No new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,1947,1831,0%,-/-,-,-,-,-,-,
"Ryan CliffordNANo new player Notes NYM - 1B,OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2038,1832,0%,-/-,-,-,-,-,-,
Alexander AlbertusNANo new player Notes CWS - 3B 7:40 pm vs COL,COL,,FA,-,2479,1833,0%,-/-,-,-,-,-,-,
Kenni GomezNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,-,2377,1834,0%,-/-,-,-,-,-,-,
"Gavin CrossNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,2191,1835,0%,-/-,-,-,-,-,-,
"Cayden WallaceNANo new player Notes WSH - 2B,3B Bot 2, 2-1 vs NYM",NYM,,FA,-,2005,1836,0%,-/-,-,-,-,-,-,
"Tyler GentryNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,2514,1837,0%,-/-,-,-,-,-,-,
"Austin CharlesNANo new player Notes KC - 3B,SS Top 1, Delay vs CLE",CLE,,FA,-,2239,1838,0%,-/-,-,-,-,-,-,
"Payton EelesNANo new player Notes BAL - 2B,SS,OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2495,1839,0%,-/-,-,-,-,-,-,
"Charlie CondonNANo new player Notes COL - 1B,OF 7:40 pm @ CWS",@ CWS,,Joe Byron,-,2023,1840,7%,-/-,-,-,-,-,-,
Randy De JesusNANo new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,FA,-,2260,1841,0%,-/-,-,-,-,-,-,
"Bryce RainerNANo new player Notes DET - SS Top 2, 0-0 vs PIT",PIT,,FA,-,2148,1842,1%,-/-,-,-,-,-,-,
"Seaver KingNANo new player Notes WSH - SS Bot 2, 2-1 vs NYM",NYM,,Ranger danger,-,2090,1843,1%,-/-,-,-,-,-,-,
"Caleb LomavitaNANo new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,-,2149,1844,0%,-/-,-,-,-,-,-,
"Billy AmickNANo new player Notes NYM - 1B,3B Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2029,1845,0%,-/-,-,-,-,-,-,
Slade CaldwellNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,-,2235,1846,0%,-/-,-,-,-,-,-,
"Vance HoneycuttNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2081,1847,0%,-/-,-,-,-,-,-,
Dakota JordanNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2510,1848,0%,-/-,-,-,-,-,-,
"Cavan BiggioNANo new player Notes HOU - 1B,OF 9:40 pm @ ATH",@ ATH,,FA,-,1978,1849,0%,-/-,-,-,-,-,-,
Walker JanekNANo new player Notes HOU - C 9:40 pm @ ATH,@ ATH,,FA,-,2370,1850,0%,-/-,-,-,-,-,-,
"Theo GillenNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,Cash is King,-,2293,1851,2%,-/-,-,-,-,-,-,
Rayne DonconNANo new player Notes MIN - 3B 8:10 pm vs TEX,TEX,,FA,-,2334,1852,0%,-/-,-,-,-,-,-,
"Logan WagnerNANo new player Notes LAD - 2B,3B 10:15 pm @ SF",@ SF,,FA,-,2036,1853,0%,-/-,-,-,-,-,-,
Kellon LindseyNANo new player Notes LAD - SS 10:15 pm @ SF,@ SF,,FA,-,2369,1854,0%,-/-,-,-,-,-,-,
Malcolm MooreNANo new player Notes TEX - C 8:10 pm @ MIN,@ MIN,,FA,-,2210,1855,0%,-/-,-,-,-,-,-,
"Wyatt SanfordNANo new player Notes PIT - 2B,SS Top 2, 0-0 @ DET",@ DET,,FA,-,2010,1856,0%,-/-,-,-,-,-,-,
"Ronald HernandezNANo new player Notes NYM - C,1B Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2251,1857,0%,-/-,-,-,-,-,-,
"Griff O'FerrallNANo new player Notes BAL - 2B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2295,1858,0%,-/-,-,-,-,-,-,
Jacob CozartNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,-,2194,1859,0%,-/-,-,-,-,-,-,
"Carter JohnsonNANo new player Notes MIA - 2B,SS Bot 1, 0-0 vs ATL",ATL,,FA,-,2075,1860,0%,-/-,-,-,-,-,-,
"Tyson LewisNANo new player Notes CIN - SS Top 2, 0-2 @ TOR",@ TOR,,FA,-,2449,1861,0%,-/-,-,-,-,-,-,
Hendry MendezNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,-,2336,1862,0%,-/-,-,-,-,-,-,
"Kevin BazzellNANo new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,-,2246,1863,0%,-/-,-,-,-,-,-,
"Dante NoriNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,2141,1864,0%,-/-,-,-,-,-,-,
"PJ MorlandoNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2282,1865,0%,-/-,-,-,-,-,-,
Jared ThomasNANo new player Notes COL - OF 7:40 pm @ CWS,@ CWS,,FA,-,2054,1866,0%,-/-,-,-,-,-,-,
Braylon PayneNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,-,2373,1867,0%,-/-,-,-,-,-,-,
"Tanner SchobelNANo new player Notes MIN - 3B,SS 8:10 pm vs TEX",TEX,,FA,-,2421,1868,0%,-/-,-,-,-,-,-,
Yasser MercedesNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,-,2025,1869,0%,-/-,-,-,-,-,-,
Mike SirotaNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,Joe Byron,-,2339,1870,2%,-/-,-,-,-,-,-,
"Danny De AndradeNANo new player Notes MIN - 2B,3B,SS 8:10 pm vs TEX",TEX,,FA,-,2177,1871,0%,-/-,-,-,-,-,-,
"Caleb BonemerNANo new player Notes CWS - 3B,SS 7:40 pm vs COL",COL,,FA,-,2425,1872,2%,-/-,-,-,-,-,-,
Kavares TearsNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,2157,1873,0%,-/-,-,-,-,-,-,
"Kevin ParadaNANo new player Notes NYM - C Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2302,1874,0%,-/-,-,-,-,-,-,
"Jett WilliamsNANo new player Notes MIL - 2B,SS,OF 7:40 pm vs STL",STL,,Detroit Fastballs,-,2408,1875,2%,-/-,-,-,-,-,-,
Blake BurkeNANo new player Notes MIL - 1B 7:40 pm vs STL,STL,,FA,-,2001,1876,0%,-/-,-,-,-,-,-,
"Peyton StovallNANo new player Notes CIN - 1B,2B Top 2, 0-2 @ TOR",@ TOR,,FA,-,2092,1877,0%,-/-,-,-,-,-,-,
"Ethan AndersonNANo new player Notes BAL - C,1B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2228,1878,0%,-/-,-,-,-,-,-,
"Jacob ReimerNANo new player Notes NYM - 1B,3B Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2371,1879,0%,-/-,-,-,-,-,-,
"Gage MillerNANo new player Notes MIA - 2B,3B Bot 1, 0-0 vs ATL",ATL,,FA,-,2133,1880,0%,-/-,-,-,-,-,-,
"Kyle DeBargeNANo new player Notes MIN - 2B,SS,OF 8:10 pm vs TEX",TEX,,FA,-,2378,1881,0%,-/-,-,-,-,-,-,
"Roderick AriasNANo new player Notes NYY - 3B,SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2018,1882,0%,-/-,-,-,-,-,-,
